Launch,Launch Date (UTC),COSPAR,PL Name,Orig PL Name,SATCAT,LV Type,LV S/N,Site,Suc,Ref
1969-067,1969 Aug 7 2348:06,1969-067A,Zond-7,L-1 No. 11,S04062,Proton-K/D,243-01,NIIP-5 LC81/23,S,NK9810-25
1969-068,1969 Aug 9 0752:00,1969-068A,OSO 6,OSO G,S04065,Thor Delta N,548/D72,CC LC17A,S,TR-1022
,,1969-068B,PAC,PAC,S04066,,,,,
1969-069,1969 Aug 12 1101:04,1969-069A,ATS 5,ATS E,S04068,Atlas SLV-3C Centaur,AC-18,CC LC36A,S,TR-1022
1969-070,1969 Aug 13 2200:02,1969-070A,Kosmos-292,Tsiklon No. 3,S04070,Kosmos 11K65M,Yu149 -35LM,NIIP-53 LC132/2,S,AK15/RAEX
1969-071,1969 Aug 16 1159:59,1969-071A,Kosmos-293,Zenit-2M,S04072,Voskhod 11A57,Yu15002-024,NIIP-5 LC31,S,AK15/RAEX
1969-072,1969 Aug 19 1300:01,1969-072A,Kosmos-294,Zenit-4 No. 63,S04074,Voskhod 11A57,Yu15001-015,NIIP-53 LC41/1,S,AK15/RAEX
1969-073,1969 Aug 22 1414:57,1969-073A,Kosmos-295,DS-P1-Yu No. 29,S04076,Kosmos 11K63,Yu295-02,NIIP-53 LC133/3,S,AVMDS
1969-074,1969 Aug 23 1600,1969-074A,OPS 7807,GAMBIT-3 Mission 4323,S04078,Titan 23B,23B-1 (3B-23),VS SLC4W,S,LR690823
1969-075,1969 Aug 29 0905:00,1969-075A,Kosmos-296,Zenit-4 No. 68,S04080,Voskhod 11A57,Yu15001-020,NIIP-5 LC31,S,AK15/RAEX
1969-076,1969 Sep 2 1100:01,1969-076A,Kosmos-297,Zenit-4 No. 64,S04082,Voskhod 11A57,Yu15001-016,NIIP-53 LC41/1,S,AK15/RAEX
1969-077,1969 Sep 15 1600:00,1969-077A,Kosmos-298,OGCh No. 21?,S04092,R-36O 8K69,Yu45021-50T,NIIP-5 LC191/66,S,AK15
1969-078,1969 Sep 18 0840:01,1969-078A,Kosmos-299,Zenit-4 No. 65,S04097,Voskhod 11A57,Yu15001-017,NIIP-5 LC31,S,AK15/RAEX
1969-079,1969 Sep 22 2111:02,1969-079A,OPS 3531,CORONA J-46,S04102,Thorad SLV-2G Agena D,531/FTV 1653,VS SLC3W,S,PER1052
,,1969-079B,SAVANT II,P-11 No. 4419,S04103,,,,,
1969-080,1969 Sep 23 1407:36,1969-080A,Kosmos-300,E-8-5 No. 403,S04104,Proton-K/D,244-01,NIIP-5 LC81/24,F,NK9810-25
1969-081,1969 Sep 24 1215:01,1969-081A,Kosmos-301,Zenit-2 No. 79,S04106,Voskhod 11A57,Yu15001-001,NIIP-53 LC41/1,S,NK96-10-65
1969-082,1969 Sep 30 1340,1969-082A,WESTON,P-11 No. 4407,S04111,Thorad SLV-2G Agena D,525/FTV 2706,V SLC1W,S,JG9602
,,1969-082K,SOICAL CONE,S69-4 Cone,S04132,,,,,
,,1969-082J,SOICAL CYLINDER,S69-4 Cylinder,S04166,,,,,
,,1969-082H,Tempsat 2,Tempsat 2,S04168,,,,,
,,1969-082E,OPS 7613 P/L 4,POPPY 6 SV2,S04237,,,,,
,,1969-082F,OPS 7613 P/L 5,POPPY 6 SV3,S04247,,,,,
,,1969-082B,OPS 7613 P/L 1,NRL PL176,S04256,,,,,
,,1969-082C,Timation 2,Timation 2,S04257,,,,,
,,1969-082D,OPS 7613 P/L 3,POPPY 6 SV1,S04259,,,,,
,,1969-082G,OPS 7613 P/L 6,POPPY 6 SV4,S04295,,,,,
1969-083,1969 Oct 1 2229:00,1969-083A,Boreas,ESRO 1B,S04114,Scout B,S172C,VS SLC5,S,VCR/ESRO-TR-9
1969-084,1969 Oct 6 0145:00,1969-084A,Meteor,Meteor 11F614M No. 15,S04119,Vostok 8A92M,V 15000-061,NIIP-53 LC41/1,S,PL-WWW
1969-085,1969 Oct 11 1110:00,1969-085A,Soyuz-6,Soyuz No. 14,S04122,Soyuz 11A511,V 15000-14,NIIP-5 LC31,S,Petrov71
1969-086,1969 Oct 12 1044:42,1969-086A,Soyuz-7,Soyuz No. 15,S04124,Soyuz 11A511,Yu15000-19,NIIP-5 LC1,S,Petrov71
1969-087,1969 Oct 13 1019:09,1969-087A,Soyuz-8,Soyuz No. 16,S04126,Soyuz 11A511,Yu15000-18,NIIP-5 LC31,S,Petrov71
1969-088,1969 Oct 14 1319:53,1969-088A,Interkosmos-1,DS-U3-IK No. 1,S04128,Kosmos 11K63,2I,GTsP-4 LC86/4,S,NK9606-11
1969-089,1969 Oct 17 1145:01,1969-089A,Kosmos-302,Zenit-4 No. 67,S04130,Voskhod 11A57,Yu15001-019,NIIP-53 LC41/1,S,AK15/RAEX
1969-090,1969 Oct 18 1000:03,1969-090A,Kosmos-303,DS-P1-Yu No. 28,S04136,Kosmos 11K63,Yu295-03,NIIP-53 LC133/3,S,AVMDS
1969-091,1969 Oct 21 1249:59,1969-091A,Kosmos-304,Tsiklon No. 4,S04138,Kosmos 11K65M,Yu226 -11U,NIIP-53 LC132/1,S,AK15/RAEX
1969-092,1969 Oct 22 1409:59,1969-092,Kosmos-305,E-8-5 No. 404,A01694,Proton-K/D,241-01,NIIP-5 LC81/24,F,NK9810-25
1969-093,1969 Oct 24 0940:00,1969-093A,Kosmos-306,Zenit-2M,S04182,Voskhod 11A57,Yu15002-026,NIIP-5 LC1,S,AK15/RAEX
1969-094,1969 Oct 24 1301:58,1969-094A,Kosmos-307,DS-P1-Yu No. 22,S04184,Kosmos 11K63,-,GTsP-4 LC86/4,S,AVMDS
1969-095,1969 Oct 24 1810,1969-095A,OPS 8455,GAMBIT-3 Mission 4324,S04186,Titan 23B,23B-2 (3B-24),VS SLC4W,S,JG9602
1969-096,1969 Nov 4 1159:59,1969-096A,Kosmos-308,DS-P1-I No. 7,S04219,Kosmos 11K63,V295-09,NIIP-53 LC133/3,S,AVMDS
1969-097,1969 Nov 8 0152,1969-097A,Azur,GRS-A,S04221,Scout B,S169C,VS SLC5,S,VCR
1969-098,1969 Nov 12 1130:00,1969-098A,Kosmos-309,Zenit-2 No. 80,S04223,Voskhod 11A57,Yu15001-002,NIIP-53 LC41/1,S,NK96-10-65
1969-099,1969 Nov 14 1622:00,1969-099A,Yankee Clipper,Apollo CM-108,S04225,Saturn V,SA-507,KSC LC39A,S,KHR-1
,,1969-099C,Intrepid,LM 6 AS,S04246,,,,,
1969-100,1969 Nov 15 0830:00,1969-100A,Kosmos-310,Zenit-4 No. 69,S04232,Voskhod 11A57,Yu15002-012,NIIP-5 LC31,S,AK15/RAEX
1969-101,1969 Nov 22 0037:00,1969-101A,Skynet IA,Skynet IA,S04250,Thor Delta M,554/D74,CC LC17A,S,TR-1022
1969-102,1969 Nov 24 1100:04,1969-102A,Kosmos-311,DS-P1-Yu No. 27,S04252,Kosmos 11K63,Yu646-24,NIIP-53 LC133/3,S,AVMDS
1969-103,1969 Nov 24 1649:59,1969-103A,Kosmos-312,Sfera,S04254,Kosmos 11K65M,Yu149 -41LM,NIIP-53 LC132/1,S,AK15/RAEX
1969-104,1969 Dec 3 1320:02,1969-104A,Kosmos-313,Zenit-2M,S04262,Voskhod 11A57,Yu15002-027,NIIP-53 LC43/4,S,AK15/RAEX
1969-105,1969 Dec 4 2138,1969-105A,OPS 6617,CORONA CR-9,S04264,Thorad SLV-2H Agena D,549/FTV 1655,VS SLC3W,S,PER
1969-106,1969 Dec 11 1258:59,1969-106A,Kosmos-314,DS-P1-Yu No. 30,S04266,Kosmos 11K63,Yu646-25,NIIP-53 LC133/3,S,AVMDS
1969-107,1969 Dec 20 0326:00,1969-107A,Kosmos-315,Tselina-OM,S04273,Kosmos 11K65M,V149 -29LM,NIIP-53 LC132/1,S,AK15/RAEX
1969-108,1969 Dec 23 0925:00,1969-108A,Kosmos-316,IM IS (I2P?),S04282,Tsiklon-2,V 22500-03L,NIIP-5 LC90/20,S,AK15/RAEX
1969-109,1969 Dec 23 1350:01,1969-109A,Kosmos-317,Zenit-4MK,S04280,Voskhod 11A57,V 15002-019,NIIP-53 LC41/1,S,AK15/RAEX
1969-110,1969 Dec 25 0959:51,1969-110A,Interkosmos-2,DS-U1-IK No. 1,S04285,Kosmos 11K63,-,GTsP-4 LC86/4,S,AVMDS
1970-001,1970 Jan 9 0920:00,1970-001A,Kosmos-318,Zenit-2M,S04292,Voskhod 11A57,Yu15002-025,NIIP-5 LC31,S,AK15/RAEX
1970-002,1970 Jan 14 1843,1970-002A,OPS 6531,GAMBIT-3 Mission 4325,S04296,Titan 23B,23B-3 (3B-25),VS SLC4W,S,JG9602
1970-003,1970 Jan 15 0016:03,1970-003A,INTELSAT III F-6,INTELSAT III F-6,S04297,Thor Delta M,557/D75,CC LC17A,S,TR-1022
1970-004,1970 Jan 15 1339:59,1970-004A,Kosmos-319,DS-P1-Yu No. 25,S04299,Kosmos 11K63,V295-12,NIIP-53 LC133/3,S,AVMDS
1970-005,1970 Jan 16 1059:58,1970-005A,Kosmos-320,DS-MO No. 3,S04301,Kosmos 11K63,-,GTsP-4 LC86/4,S,AVMDS
1970-006,1970 Jan 20 2020:00,1970-006A,Kosmos-321,DS-U2-MG No. 1,S04308,Kosmos 11K63,N231-06,NIIP-53 LC133/3,S,AVMDS
1970-007,1970 Jan 21 1200:00,1970-007A,Kosmos-322,Zenit-4 No. 70,S04315,Voskhod 11A57,Yu15002-011,NIIP-53 LC41/1,S,AK15/RAEX
1970-008,1970 Jan 23 1131:02,1970-008A,ITOS 1,Tiros M,S04320,Thor Delta N6,542/D76,V SLC2W,S,TR-1022
,,1970-008B,Australis-OSCAR 5,Australis,S04321,,,,,
1970-009,1970 Feb 4 0259:50,1970-009A,SERT 2,SERT 2,S04327,Thorad SLV-2G Agena D,534/FTV 6111 (T,V SLC2E,S,TR-1022
1970-010,1970 Feb 10 1200:01,1970-010A,Kosmos-323,Zenit-4 No. 71,S04328,Voskhod 11A57,Yu15002-013,NIIP-53 LC41/1,S,AK15/RAEX
1970-011,1970 Feb 11 0425,1970-011A,Ohsumi,L-4S-5,S04330,Lambda 4S,L-4S-5,KASC L,S,ISST9
1970-012,1970 Feb 11 0840:47,1970-012A,DAPP 1524,DAPP Block 5A F-1,S04331,Thor Burner 2,287/BII-9,V SLC10W,S,SAC7383
1970-013,1970 Feb 19 1857:15,1970-013A,Molniya-1,Molniya-1 11F67 No. 17,S04336,Molniya 8K78M,V 15000-087,NIIP-53 LC43/4,S,AK15/RAEX
1970-014,1970 Feb 27 1724:55,1970-014A,Kosmos-324,DS-P1-Yu No. 32,S04338,Kosmos 11K63,Yu646-27,NIIP-53 LC133/3,S,AVMDS
1970-015,1970 Mar 4 1214:42,1970-015A,Kosmos-325,Zenit-2 No. 73,S04340,Voskhod 11A57,V 15002-005,NIIP-53 LC43/4,S,NK96-10-65
1970-016,1970 Mar 4 2215:00,1970-016A,OPS 0440,CORONA CR-10,S04342,Thorad SLV-2H Agena D,551/FTV 1657,VS SLC3W,S,PER
,,1970-016B,TIVOLI III,P-11 No. 4422,S04343,,,,,
1970-017,1970 Mar 10 1220,1970-017A,Wika,DIAL Wissenschaftliche Ka,S04344,Diamant B,No. 1,CSG Diamant,S,FI700716-98
,,1970-017B,Mika,DIAL Mini Kapsel,S04345,,,,,
1970-018,1970 Mar 13 0800:02,1970-018A,Kosmos-326,Zenit-2 No. 74,S04346,Voskhod 11A57,V 15002-006,NIIP-53 LC43/4,S,NK96-10-65
1970-019,1970 Mar 17 1110:01,1970-019A,Meteor,Meteor 11F614M No. 14,S04349,Vostok 8A92M,R 15000-005,NIIP-53 LC41/1,S,PL-WWW
1970-020,1970 Mar 18 1439:56,1970-020A,Kosmos-327,DS-P1-I No. 8,S04351,Kosmos 11K63,Yu646-28,NIIP-53 LC133/3,S,AVMDS
1970-021,1970 Mar 20 2352:00,1970-021A,NATO IIA,NATO IIA,S04353,Thor Delta M,558/D77,CC LC17A,S,TR-1022
1970-022,1970 Mar 27 1145:00,1970-022A,Kosmos-328,Zenit-4MK,S04355,Voskhod 11A57,V 15002-020,NIIP-53 LC41/1,S,AK15/RAEX
1970-023,1970 Apr 3 0830:00,1970-023A,Kosmos-329,Zenit-2M,S04357,Voskhod 11A57,Yu15002-032,NIIP-53 LC43/4,S,AK15/RAEX
1970-024,1970 Apr 7 1110:01,1970-024A,Kosmos-330,Tselina-OM,S04360,Kosmos 11K65M,V149 -34LM,NIIP-53 LC132/2,S,RAEX
1970-025,1970 Apr 8 0817:56,1970-025A,Nimbus 4,Nimbus D,S04362,Thorad SLV-2G Agena D,553/FTV 6231 (T,V SLC2E,S,TR-1022
,,1970-025B,TOPO I,Secor Type II S/N 18,S04363,,,,,
1970-026,1970 Apr 8 1015:20,1970-026A,Kosmos-331,Zenit-4 No. 66,S04364,Voskhod 11A57,Yu15001-018,NIIP-5 LC31,S,AK15/RAEX
1970-027,1970 Apr 8 1050:01,1970-027A,Vela 6A,Vela 6A,S04366,Titan IIIC,3C-18,CC LC40,S,AFT3
,,1970-027B,Vela 6B,Vela 6B,S04368,,,,,
1970-028,1970 Apr 11 1700:00,1970-028A,Kosmos-332,Tsiklon No. 5,S04369,Kosmos 11K65M,V149 -36LM,NIIP-53 LC132/2,S,RAEX
1970-029,1970 Apr 11 1913:03,1970-029A,Odyssey,Apollo CM-109,S04371,Saturn V,SA-508,KSC LC39A,S,KHR-1
,,1970-029,Aquarius,LM 7 AS,A01777,,,,,
1970-030,1970 Apr 15 0900:01,1970-030A,Kosmos-333,Zenit-4M No. 44,S04373,Voskhod 11A57,Yu15003-044,NIIP-53 LC41/1,S,AK15/RAEX
1970-031,1970 Apr 15 1552,1970-031A,OPS 2863,GAMBIT-3 Mission 4326,S04375,Titan 23B,23B-4 (3B-26),VS SLC4W,S,JG9602
1970-032,1970 Apr 23 0046:12,1970-032A,INTELSAT III F-7,INTELSAT III F-7,S04376,Thor Delta M,559/D78,CC LC17A,S,TR-1022
1970-033,1970 Apr 23 1320:00,1970-033A,Kosmos-334,DS-P1-Yu No. 31,S04378,Kosmos 11K63,Yu646-26,NIIP-53 LC133/3,S,AVMDS
1970-034,1970 Apr 24 1335:45,1970-034A,DFH-1,Dong Fang Hong,S04382,Chang Zheng 1,601904,JQ LA2A,S,LissovC
1970-035,1970 Apr 24 2224:49,1970-035A,Kosmos-335,DS-U1-R No. 1,S04380,Kosmos 11K63,-,GTsP-4 LC86/4,S,AVMDS
1970-036,1970 Apr 25 1709:16,1970-036A,Kosmos-336,Strela-1M,S04383,Kosmos 11K65M,V149 -33LM,NIIP-53 LC132/2,S,AK15/RAEX
,,1970-036B,Kosmos-337,Strela-1M,S04384,,,,,
,,1970-036C,Kosmos-338,Strela-1M,S04385,,,,,
,,1970-036D,Kosmos-339,Strela-1M,S04386,,,,,
,,1970-036E,Kosmos-340,Strela-1M,S04387,,,,,
,,1970-036F,Kosmos-341,Strela-1M,S04388,,,,,
,,1970-036G,Kosmos-342,Strela-1M,S04389,,,,,
,,1970-036H,Kosmos-343,Strela-1M,S04390,,,,,
1970-037,1970 Apr 28 1050:00,1970-037A,Meteor,Meteor 11F614M No. 13,S04393,Vostok 8A92M,Yu15000-062,NIIP-53 LC41/1,S,PL-WWW
1970-038,1970 May 12 1010:01,1970-038A,Kosmos-344,Zenit-2 No. 81,S04401,Voskhod 11A57,Yu15001-003,NIIP-53 LC41/1,S,NK96-10-65
1970-039,1970 May 20 0920:01,1970-039A,Kosmos-345,Zenit-4 No. 77,S04403,Voskhod 11A57,Yu15002-019,NIIP-5 LC31,S,AK15/RAEX
1970-040,1970 May 20 2135:10,1970-040A,OPS 4720,CORONA CR-11,S04405,Thorad SLV-2H Agena D,555/FTV 1656,VS SLC3W,S,PER
,,1970-040B,TRIPOS IV,P-11 No. 4421,S04406,,,,,
1970-041,1970 Jun 1 1900:00,1970-041A,Soyuz-9,Soyuz No. 17,S04407,Soyuz 11A511,Yu15000-021S,NIIP-5 LC31,S,NK0204-71
1970-042,1970 Jun 10 0930:01,1970-042A,Kosmos-346,Zenit-4 No. 72,S04409,Voskhod 11A57,Yu15002-014,NIIP-5 LC31,S,AK15/RAEX
1970-043,1970 Jun 12 0930:02,1970-043A,Kosmos-347,DS-P1-Yu No. 35,S04411,Kosmos 11K63,-,GTsP-4 LC86/4,S,AVMDS
1970-044,1970 Jun 13 0459:58,1970-044A,Kosmos-348,DS-U2-GK No. 2,S04413,Kosmos 11K63,N231-10,NIIP-53 LC133/3,S,AVMDS
1970-045,1970 Jun 17 1259:57,1970-045A,Kosmos-349,Zenit-4 No. 73,S04416,Voskhod 11A57,Yu15002-015,NIIP-53 LC43/4,S,AK15/RAEX
1970-046,1970 Jun 19 1137,1970-046A,OPS 5346,RHYOLITE 1,S04418,Atlas SLV-3A Agena D,5201A,CC LC13,S,ETR-IDX-FY70
1970-047,1970 Jun 23 1415:00,1970-047A,Meteor,Meteor-M No. 17,S04419,Vostok 8A92M,Yu15000-063,NIIP-53 LC41/1,S,PL-WWW
1970-048,1970 Jun 25 1450,1970-048A,OPS 6820,GAMBIT-3 Mission 4327,S04422,Titan 23B,23B-5 (3B-27),VS SLC4W,S,LR700625
1970-049,1970 Jun 26 0323:01,1970-049A,Molniya-1,Molniya-1 11F67 No. 21,S04430,Molniya 8K78M,Yu15000-089,NIIP-53 LC43/4,S,AK15/RAEX
1970-050,1970 Jun 26 1200:01,1970-050A,Kosmos-350,Zenit-2M,S04425,Voskhod 11A57,Kh76001-036,NIIP-5 LC31,S,AK15/RAEX
1970-051,1970 Jun 27 0739:55,1970-051A,Kosmos-351,DS-P1-Yu No. 38,S04427,Kosmos 11K63,Yu457-34,NIIP-53 LC133/3,S,AVMDS
1970-052,1970 Jul 7 1030:01,1970-052A,Kosmos-352,Zenit-4 No. 74,S04446,Voskhod 11A57,Yu15002-016,NIIP-5 LC31,S,AK15/RAEX
1970-053,1970 Jul 9 1335:01,1970-053A,Kosmos-353,Zenit-2M,S04455,Voskhod 11A57,Yu15002-028,NIIP-53 LC41/1,S,AK15/RAEX
1970-054,1970 Jul 23 0125,1970-054A,OPS 4324,CORONA CR-12,S04477,Thorad SLV-2H Agena D,556/FTV 1654,VS SLC3W,S,PER
1970-055,1970 Jul 23 2323:00,1970-055A,INTELSAT III F-8,INTELSAT III F-8,S04478,Thor Delta M,563/D79,CC LC17A,S,TR-1022
1970-056,1970 Jul 28 2200:28,1970-056A,Kosmos-354,OGCh 8F673 No. 22500-11,S04481,R-36O 8K69,Yu45021-49T,NIIP-5 LC191/66,S,Kosmodrom9904
1970-057,1970 Aug 7 0259:53,1970-057A,Interkosmos-3,DS-U2-IK No. 1,S04482,Kosmos 11K63,-,GTsP-4 LC86/4,S,AVMDS
1970-058,1970 Aug 7 0930:00,1970-058A,Kosmos-355,Zenit-4 No. 76,S04484,Voskhod 11A57,Yu15002-018,NIIP-53 LC43/4,S,AK15/RAEX
1970-059,1970 Aug 10 1959:55,1970-059A,Kosmos-356,DS-U2-MG No. 2,S04487,Kosmos 11K63,N231-05,NIIP-53 LC133/3,S,AVMDS
1970-060,1970 Aug 17 0538:22,1970-060A,Venera-7,4V-1 No. 630,S04489,Molniya 8K78M,Kh15000-062,NIIP-5 LC31,S,Petrov71
1970-061,1970 Aug 18 1445,1970-061A,OPS 7874,GAMBIT-3 Mission 4328,S04492,Titan 23B,23B-6 (3B-28),VS SLC4W,S,LR700818
1970-062,1970 Aug 19 1211:00,1970-062A,Skynet IB,Skynet IB,S04493,Thor Delta M,561/D80,CC LC17A,S,TR-1022
1970-063,1970 Aug 19 1459:53,1970-063A,Kosmos-357,DS-P1-Yu No. 40,S04495,Kosmos 11K63,Yu457-36,NIIP-53 LC133/3,S,AVMDS
1970-064,1970 Aug 20 1430:01,1970-064A,Kosmos-358,Lira,S04497,Kosmos 11K65M,Yu47121-13,NIIP-53 LC132/1,S,AK15/RAEX
1970-065,1970 Aug 22 0506:09,1970-065A,Kosmos-359,4V-1 No. 631,S04501,Molniya 8K78M,Kh15000-061,NIIP-5 LC31,F,NK9701-29
1970-066,1970 Aug 26 1001,1970-066A,OPS 8329,STRAWMAN 3,S04503,Thorad SLV-2G Agena D,535/FTV 2736,V SLC1W,S,LR700826
1970-067,1970 Aug 27 1323:34,1970-067A,NNS O-19,NNS O-19,S04507,Scout A,S176C,VS SLC5,S,VCR
1970-068,1970 Aug 29 0830:00,1970-068A,Kosmos-360,Zenit-4M,S04508,Voskhod 11A57,Kh76002-045,NIIP-5 LC31,S,AK15/RAEX
1970-069,1970 Sep 1 0100,1970-069A,OPS 7329,CANYON 3,S04510,Atlas SLV-3A Agena D,5203A,CC LC13,S,AFMTC
1970-070,1970 Sep 3 0839:45,1970-070A,DAPP 2525,DAPP Block 5A F-2,S04512,Thor Burner 2,288/BII-13,V SLC10W,S,SAC7383
1970-071,1970 Sep 8 1030:00,1970-071A,Kosmos-361,Zenit-4M No. 46,S04524,Voskhod 11A57,Kh76002-046,NIIP-53 LC41/1,S,AK15/RAEX
1970-072,1970 Sep 12 1325:53,1970-072A,Luna-16 KT,E-8-5 No. 406,S04527,Proton-K/D,248-01,NIIP-5 LC81/23,S,NK9810-25
1970-073,1970 Sep 16 1159:55,1970-073A,Kosmos-362,DS-P1-I No. 9,S04536,Kosmos 11K63,Yu457-37,NIIP-53 LC133/3,S,AVMDS
1970-074,1970 Sep 17 0810:01,1970-074A,Kosmos-363,Zenit-2M,S04538,Voskhod 11A57,Kh76001-034,NIIP-5 LC31,S,AK15/RAEX
1970-075,1970 Sep 22 1300:01,1970-075A,Kosmos-364,Zenit-4MK,S04553,Voskhod 11A57,Yu15000-003,NIIP-53 LC41/1,S,AK15/RAEX
1970-076,1970 Sep 25 1405:00,1970-076A,Kosmos-365,OGCh 8F673K No. Kh22511-6,S04556,R-36O 8K69M,4502741-260T,NIIP-5 LC191/66,S,Kosmodrom9904
1970-077,1970 Sep 29 0814:01,1970-077A,Molniya-1,Molniya-1 11F67 No. 19,S04569,Molniya 8K78M,Yu15000-090,NIIP-53 LC43/4,S,AK15/RAEX
1970-078,1970 Oct 1 0820:03,1970-078A,Kosmos-366,Zenit-2M,S04561,Voskhod 11A57,Yu15002-029,NIIP-5 LC1,S,AK15/RAEX
1970-079,1970 Oct 3 1026:45,1970-079A,Kosmos-367,US-A reactor,S04564,Tsiklon-2,Yu22500-07L,NIIP-5 LC90/19,S,AK15/RAEX
1970-080,1970 Oct 8 1239:02,1970-080A,Kosmos-368,Zenit-2M (Bion),S04571,Voskhod 11A57,7705711-121,NIIP-5 LC31,S,AK15/RAEX
1970-081,1970 Oct 8 1510:03,1970-081A,Kosmos-369,DS-P1-Yu No. 42,S04573,Kosmos 11K63,64657-132,NIIP-53 LC133/3,S,AVMDS
1970-082,1970 Oct 9 1104:58,1970-082A,Kosmos-370,Zenit-4M,S04576,Voskhod 11A57,Kh76002-049,NIIP-5 LC1,S,AK15/RAEX
1970-083,1970 Oct 12 1357:00,1970-083A,Kosmos-371,Tsiklon No. 6,S04578,Kosmos 11K65M,47117-103,NIIP-53 LC132/1,S,RAEX
1970-084,1970 Oct 14 1129:58,1970-084A,Interkosmos-4,DS-U3-IK No. 2,S04580,Kosmos 11K63,-,GTsP-4 LC86/4,S,AVMDS
1970-085,1970 Oct 15 1122:02,1970-085A,Meteor,Meteor-M No. 16,S04583,Vostok 8A92M,Yu15000-065,NIIP-53 LC41/1,S,PL-WWW
1970-086,1970 Oct 16 1459:59,1970-086A,Kosmos-372,Strela-2M,S04588,Kosmos 11K65M,53717-104,NIIP-53 LC132/1,S,AK15/RAEX
1970-087,1970 Oct 20 0538:00,1970-087A,Kosmos-373,IS-M,S04590,Tsiklon-2,Yu22500-06L,NIIP-5 LC90/19,S,AK15/RAEX
1970-088,1970 Oct 20 1955:39,1970-088A,Zond-8,L-1 No. 14,S04591,Proton-K/D,250-01,NIIP-5 LC81/23,S,NK9810-25
1970-089,1970 Oct 23 0442:56,1970-089A,Kosmos-374,I2P,S04594,Tsiklon-2,Yu22500-05L,NIIP-5 LC90/20,S,AK15/RAEX
1970-090,1970 Oct 23 1740,1970-090A,OPS 7568,GAMBIT-3 Mission 4329,S04596,Titan 23B,23B-7 (3B-29),VS SLC4W,S,LR701024
1970-091,1970 Oct 30 0236:51,1970-091A,Kosmos-375,I2P,S04598,Tsiklon-2,Yu22500-12L,NIIP-5 LC90/20,S,AK15/RAEX
1970-092,1970 Oct 30 1320:00,1970-092A,Kosmos-376,Zenit-4M No. 47,S04599,Voskhod 11A57,Kh76002-047,NIIP-53 LC43/4,S,AK15/RAEX
1970-093,1970 Nov 6 1035:57,1970-093A,DSP F1,DSP 1,S04630,Titan IIIC,23C-1 (3C-19),CC LC40,S,AFT3
1970-094,1970 Nov 9 0600:00,1970-094A,OFO,OFO,S04690,Scout B,S174C,WI LA3A,S,LAAFB
,,1970-094B,RM,RM,S04692,,,,,
1970-095,1970 Nov 10 1444:01,1970-095A,Luna-17,E-8 No. 203,S04691,Proton-K/D,251-01,NIIP-5 LC81/23,S,NK9810-25
1970-096,1970 Nov 11 0920:01,1970-096A,Kosmos-377,Zenit-2M,S04695,Voskhod 11A57,Kh76001-035,NIIP-5 LC31,S,AK15/RAEX
1970-097,1970 Nov 17 1820:01,1970-097A,Kosmos-378,DS-U2-IP No. 1,S04713,Kosmos 11K65M,65017-107,NIIP-53 LC132/2,S,AVMDS
1970-098,1970 Nov 18 2128:00,1970-098A,OPS 4992,CORONA QR-2R,S04721,Thorad SLV-2H Agena D,552/FTV 1658,VS SLC3W,S,PER1112
,,1970-098B,TOPHAT I,P-11 No. 4423,S04722,,,,,
1970-099,1970 Nov 24 0515:01,1970-099A,Kosmos-379,T2K No. 1,S04760,Soyuz 11A511L,Yu15000-016,NIIP-5 LC31,S,AK15/RAEX
1970-100,1970 Nov 24 1059:56,1970-100A,Kosmos-380,DS-P1-Yu No. 26,S04762,Kosmos 11K63,64657-131,NIIP-53 LC133/3,S,AVMDS
1970-101,1970 Nov 27 1547:17,1970-101A,Molniya-1,Molniya-1 11F67 No. 23,S04779,Molniya 8K78M,Kh15000-095,NIIP-53 LC43/4,S,AK15/RAEX
1970-102,1970 Dec 2 0400:02,1970-102A,Kosmos-381,Ionosfernaya Stantsiya No,S04783,Kosmos 11K65M,47117-105,NIIP-53 LC132/2,S,AK15/RAEX
1970-103,1970 Dec 2 1700:00,1970-103A,Kosmos-382,L-1e No. 2K,S04786,Proton-K/D,252-01,NIIP-5 LC81/23,S,NK9810-25
1970-104,1970 Dec 3 1355:19,1970-104A,Kosmos-383,Zenit-4MK,S04787,Voskhod 11A57,Kh15000-004,NIIP-53 LC43/4,S,AK15/RAEX
1970-105,1970 Dec 10 1110:00,1970-105A,Kosmos-384,Zenit-2M,S04791,Voskhod 11A57,Yu15002-031,NIIP-53 LC41/1,S,AK15/RAEX
1970-106,1970 Dec 11 1135:00,1970-106A,NOAA 1,ITOS A,S04793,Thor Delta N6,546/D81,V SLC2W,S,TR-1022
,,1970-106B,CEPE,CEP,S04794,,,,,
1970-107,1970 Dec 12 1053:50,1970-107A,Uhuru,SAS A,S04797,Scout B,S175C,SMLC,S,LAAFB
1970-108,1970 Dec 12 1300:00,1970-108A,Kosmos-385,Tsiklon No. 7,S04799,Kosmos 11K65M,V149-39LM,NIIP-53 LC132/2,S,AK15/RAEX
1970-109,1970 Dec 12 1304:44,1970-109A,Peole,Peole,S04801,Diamant B,No. 2,CSG Diamant,S,LeMonde701213
1970-110,1970 Dec 15 1000:01,1970-110A,Kosmos-386,Zenit-4M,S04804,Voskhod 11A57,Kh76002-051,NIIP-5 LC31,S,AK15/RAEX
